ids,text,aspect,sentiment,entity,attribute
131:0,summari do not buy hp,COMPANY#GENERAL,negative,COMPANY,GENERAL
173:0,display awesom,DISPLAY#GENERAL,positive,DISPLAY,GENERAL
391:25,buy go expect hr batteri life perfectli satisfi,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
331:0,take back defect,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
B00FU83YWS_65_A1KQSBBXF0PT6J:1,expect great graphic though,GRAPHICS#GENERAL,neutral,GRAPHICS,GENERAL
B00FU83YWS_29_A12BQH3ETKAFX1:1,heavi game definit strong point,LAPTOP#MISCELLANEOUS,negative,LAPTOP,MISCELLANEOUS
B00KMRGF28_221_A4YVKTRE1Z1OU:0,big piec junk ever purchas,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
352:2,screen crystal clear system respon,DISPLAY#QUALITY,positive,DISPLAY,QUALITY
285:2,easi use good qualiti good price,LAPTOP#PRICE,positive,LAPTOP,PRICE
B00KMRGF28_346_A3IUXJAOQJ8HV9:0,love comput,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
346:0,happi one program,SOFTWARE#GENERAL,negative,SOFTWARE,GENERAL
B00KMRGF28_143_A2F0D5EV8ZOK44:0,dell quick enough sturdi good finger print,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
389:2,buy use colleg perfect,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
B0096VDM8G_34_A1B3PJ2QZABWXO:4,batteri life astonish give process power high resolut display,CPU#OPERATION_PERFORMANCE,positive,CPU,OPERATION_PERFORMANCE
B00FU83YWS_260_A2YQ3TFBY1MASP:6,one howev loo either tap hard repeatedli push click order work suddenli bare touch click,MOUSE#QUALITY,negative,MOUSE,QUALITY
B00KMRGF28_374_AS24VWQPFK1HB:6,webcam noth special need,MULTIMEDIA_DEVICES#GENERAL,neutral,MULTIMEDIA_DEVICES,GENERAL
307:5,easi type feel great besid ad featur keyboard light,KEYBOARD#DESIGN_FEATURES,positive,KEYBOARD,DESIGN_FEATURES
394:13,remov softwar laptop load second,SOFTWARE#GENERAL,negative,SOFTWARE,GENERAL
B00KMRGF28_278_ARETX4KDPRVUN:3,simpl web brow medium stream,LAPTOP#MISCELLANEOUS,neutral,LAPTOP,MISCELLANEOUS
28:1,speaker small real use,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,MULTIMEDIA_DEVICES,DESIGN_FEATURES
267:0,meet need perfectli light enough senior carri without affect arthriti,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
58:3,take long get use mac os,OS#USABILITY,positive,OS,USABILITY
325:0,need afford entri level laptop fit bill,LAPTOP#PRICE,positive,LAPTOP,PRICE
93:3,send replac part without inform requir return within day contact let know broken part return later,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
178:6,get well,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_168_A3TKNSIFQ0WOEE:5,love laptop,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
124:5,usb port nice two side work,PORTS#OPERATION_PERFORMANCE,negative,PORTS,OPERATION_PERFORMANCE
B00FU83YWS_64_A3DGGMIJIKUS2O:3,buy someth well,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
96:0,comput one month send repair,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
31:1,eas set everyth child could,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
B00KMRGF28_259_A22ELO0I334LNR:6,give star poor pictur qualiti great buy,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
318:2,great product appl new great look design,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
40:11,also good colleg student need reliabl easi use comput,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
101:0,slow internet slow gener,LAPTOP#CONNECTIVITY,negative,LAPTOP,CONNECTIVITY
45:11,creativ favor get mac,COMPANY#GENERAL,positive,COMPANY,GENERAL
B00KMRGF28_214_A1PS6GRSMNBXBJ:0,big disappoint,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
127:0,ever sinc buy laptop far experi noth constant break down laptop bad custom servic receiv phone toshiba custom servic hotlin,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
280:1,still test batteri life think would well happi upgrad,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_181_A3EWXJNJTBYTQM:0,uhhhhhh comput look good,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
B00KMRGF28_110_A1DQBA28Z04UI1:2,take almost minut boot,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
40:8,past four year never get viru,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00KB3MXH4_0_A1CFRDJVZWJAVK:2,would definit recommend,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_78_AX6U6FG5HD88L:7,con window effin,OS#GENERAL,negative,OS,GENERAL
135:0,call laptop run slow hate,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
10:1,would realli recommend person get laptop caus realli worth,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_214_A1PS6GRSMNBXBJ:2,take long time load page,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
239:7,say still run video full screen decent,DISPLAY#OPERATION_PERFORMANCE,neutral,DISPLAY,OPERATION_PERFORMANCE
B00D7Z84OY_3_A3Q8WSIN4LWVLK:1,thing laptop awesom except touchpad,MOUSE#GENERAL,negative,MOUSE,GENERAL
B00KB3MXH4_22_A106YGESUYA4BP:5,sound nice crisp,MULTIMEDIA_DEVICES#QUALITY,positive,MULTIMEDIA_DEVICES,QUALITY
22:0,goodi insid machin valu,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
377:1,wonder featur,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
183:0,buy laptop saturday complet love,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
16:1,ideal child temp,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
B00KMRGF28_381_AH6TXTDWVUNLS:0,fantast price wish key illumin,KEYBOARD#DESIGN_FEATURES,negative,KEYBOARD,DESIGN_FEATURES
375:2,wish webcam though would perfect,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
266:1,big big sinc screen would expect,LAPTOP#DESIGN_FEATURES,neutral,LAPTOP,DESIGN_FEATURES
B00FU83YWS_36_A21F9QHZIQH13I:1,blaze fast quick enough,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
40:4,turn work,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
189:9,like pund look past great,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
22:7,cool system malfunct minut gener use would move past error,FANS_COOLING#OPERATION_PERFORMANCE,negative,FANS_COOLING,OPERATION_PERFORMANCE
263:2,awesom graphic,GRAPHICS#GENERAL,positive,GRAPHICS,GENERAL
361:4,featur good enough need,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
101:0,slow internet slow gener,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
390:1,problem add gb ram comput kinda slow,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
36:5,display beyond horribl,DISPLAY#GENERAL,negative,DISPLAY,GENERAL
289:12,I m happi comput,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00FU83YWS_144_A2V66HFJ93O4SH:1,firstli lead let know go cap lock hard drive indic noth,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
371:0,laptop serv need,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
331:2,keep page work,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
326:1,laptop larg bare fit carri case,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
115:6,would tell technician know exactli wrong listen go bunch junk get tell need send comput,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
B00KMRGF28_149_A3J4TEK6ANKJHC:5,highli recommend,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
393:2,occassionali use work via vpn give problem,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
72:1,fine appl mcll ghz macboook pro notebook meet need laptop comput go,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_54_A3ODG9PLY4Z27Y:0,thing run smoothli price batteri life seem go forev,BATTERY#OPERATION_PERFORMANCE,positive,BATTERY,OPERATION_PERFORMANCE
53:1,buy hsn bundl extra softwar turn softwar crash often,SOFTWARE#GENERAL,negative,SOFTWARE,GENERAL
B00KMRGF28_143_A2F0D5EV8ZOK44:3,would recommend anybodi need reliabl simpl laptop,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00FU83YWS_260_A2YQ3TFBY1MASP:0,without doubt bad laptop ever,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
B00KMRGF28_214_A1PS6GRSMNBXBJ:3,minth far shut complet time,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
B0096VDM8G_34_A1B3PJ2QZABWXO:1,appl unriv term build qualiti function,COMPANY#GENERAL,positive,COMPANY,GENERAL
86:1,easi use keyboard easili accommod larg hand weight fanta,KEYBOARD#DESIGN_FEATURES,positive,KEYBOARD,DESIGN_FEATURES
86:4,instal featur certain printer softwar also attract,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
B0096VDM8G_4_A38OXSOE07310S:0,well worth extra cost,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
150:4,brief summari would say would recommend dell vostro anyon due right aw setup opinion steer clear want decent laptop,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
160:4,doctor order,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
25:6,laptop still work blue screen within week,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
211:4,tri give star choo least one imo star,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
380:2,gb ram plenti abl run window least program next slowdown,MEMORY#DESIGN_FEATURES,positive,MEMORY,DESIGN_FEATURES
B00FU83YWS_19_A1MBI7JFXKWNWS:0,machin easi use power need person use light profession work,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
283:1,realli like textur surfac show fingerprint,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
262:1,wonder comput game,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
269:2,small amaz fast,LAPTOP#DESIGN_FEATURES,neutral,LAPTOP,DESIGN_FEATURES
B00FU83YWS_262_APGJ4QQPM9QIX:3,price good,LAPTOP#PRICE,positive,LAPTOP,PRICE
56:0,great laptop school easi use beginn household,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
B00KMRGF28_389_A39AJESZOC4H6J:0,laptop absolut horribl,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
B00D7Z84OY_6_A3LVQPXOZD4VIT:1,deal hp support ridicul pain experi,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
B00KMRGF28_193_A20GPA6RDO8DT7:3,first thing say posit laptop light make realli portabl rel clear screen bonu,LAPTOP#PORTABILITY,positive,LAPTOP,PORTABILITY
394:12,wish toshiba would allow custom select option boot os setup remov unnecessari stuff,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
246:2,mac worri antiviru softwar firewal wonder,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
92:14,unless want inconvenienc non work power suppli find replac make attach small,POWER_SUPPLY#DESIGN_FEATURES,negative,POWER_SUPPLY,DESIGN_FEATURES
389:1,mayb cut edg satellit ld workhor,LAPTOP#DESIGN_FEATURES,neutral,LAPTOP,DESIGN_FEATURES
B00KMRGF28_78_AX6U6FG5HD88L:8,still give star rate fast nice size screen,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00KMRGF28_168_A3TKNSIFQ0WOEE:2,screen resolut crystal clear speaker amaz track pad easi use,MULTIMEDIA_DEVICES#GENERAL,positive,MULTIMEDIA_DEVICES,GENERAL
34:5,machin bluray player book mention connect hdtv,LAPTOP#USABILITY,negative,LAPTOP,USABILITY
234:4,web access g network slow frustrat disappoint,LAPTOP#CONNECTIVITY,negative,LAPTOP,CONNECTIVITY
B00KMRGF28_176_A7M27ZVQA4N2X:1,ye run old type processor hey even tri game,LAPTOP#MISCELLANEOUS,negative,LAPTOP,MISCELLANEOUS
B0096VDM8G_45_A2SPGNGEHWEP8R:3,con honestli zero con window pc user switch seamlessli run parallel need window,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
391:0,let start good awesom,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
230:4,pay laptop bell whistl keep crap,LAPTOP#PRICE,negative,LAPTOP,PRICE
283:3,speaker get loud good enough,MULTIMEDIA_DEVICES#QUALITY,neutral,MULTIMEDIA_DEVICES,QUALITY
85:14,highli recommend,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
56:0,great laptop school easi use beginn household,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
167:1,design awesom qualiti unprece,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
105:3,coupla month later chang hard drive,HARD_DISC#QUALITY,negative,HARD_DISC,QUALITY
93:0,first dell hear custom servic lack work improv,SUPPORT#QUALITY,neutral,SUPPORT,QUALITY
B00FU83YWS_260_A2YQ3TFBY1MASP:10,wait almost minut comput manag window open,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
360:2,cost winner,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
139:1,time went find almost imposs keep thing line wi fi,LAPTOP#CONNECTIVITY,negative,LAPTOP,CONNECTIVITY
325:0,need afford entri level laptop fit bill,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
11:3,rd macbook pro realli honestli love,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
104:1,comput fast run smoothli problem,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
266:5,happi th toshiba laptop,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
201:0,appl macbook well invest ever make,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_278_ARETX4KDPRVUN:4,pretti premium feel low price,LAPTOP#PRICE,positive,LAPTOP,PRICE
351:2,headphon mic jack front touch pad make touch pad hard use use headphon mic mention laptop design right hand person,PORTS#DESIGN_FEATURES,negative,PORTS,DESIGN_FEATURES
B0096VDM8G_34_A1B3PJ2QZABWXO:7,overal high qualiti laptop great valu consid comput offer,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
303:1,laptop durabl easi travel,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
5:7,keyboard great quiet type,KEYBOARD#QUALITY,positive,KEYBOARD,QUALITY
11:11,great laptop offer mani great featur,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
B0096VDM8G_16_A1O57E5JJJCTEU:1,take long time get web chang web site,LAPTOP#CONNECTIVITY,negative,LAPTOP,CONNECTIVITY
333:2,issu littl slow fix ad ram,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
B00FU83YWS_64_A3DGGMIJIKUS2O:0,crash day get,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
86:3,upgrad quickli accomplish purchas necessari product key,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
B00FU83YWS_19_A1MBI7JFXKWNWS:5,perfectli adequ,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
95:2,look good laptop,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
104:5,give hard time yet malfunct batteri die,BATTERY#OPERATION_PERFORMANCE,negative,BATTERY,OPERATION_PERFORMANCE
134:0,happi purchas toshiba satellit ld laptop come time repair toshiba warranti,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
230:5,none tech hp know,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
B0096VDM8G_45_A2SPGNGEHWEP8R:2,retina screen solid build qualiti weight fast processor reliabl appl brand,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
169:0,appar well build gorgeou look macbook pro win combin price perform,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00FU83YWS_262_APGJ4QQPM9QIX:1,everyth want build wi fi connect slot sd camera memori card dvd burner big beauti screen plenti usb port three one keyboard nice touch,KEYBOARD#QUALITY,positive,KEYBOARD,QUALITY
B00KMRGF28_175_A3F52XJ7SM4P7:1,come instruct book back cd alreadi crash,LAPTOP#MISCELLANEOUS,negative,LAPTOP,MISCELLANEOUS
B00KMRGF28_259_A22ELO0I334LNR:4,laptop suit need current studi onlin need comput purpos,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
285:0,love size keyboard function,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
242:1,softwar speed enabl amaz thing,SOFTWARE#GENERAL,positive,SOFTWARE,GENERAL
B00KMRGF28_168_A3TKNSIFQ0WOEE:1,despit fact optic drive everyth perfect,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
11:8,addict mac,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_380_A3NKFNBLS4N4RJ:0,excel item ship time meet expect do not heat do not use game,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00KMRGF28_98_A1YYZDBT4D9GEA:2,also wish port plug internet cord sometim wifi router like work,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
326:2,peform good price,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00FU83YWS_144_A2V66HFJ93O4SH:2,ok one light let know damn thing,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
B00KMRGF28_193_A20GPA6RDO8DT7:6,speed disappoint,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
234:6,purchas thing find need special interfac devic connect camera purchas store line,LAPTOP#CONNECTIVITY,negative,LAPTOP,CONNECTIVITY
363:1,price get exceed expect,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
54:6,year still wait see go laptop,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
B00FU83YWS_8_A39B6W3B15HS0A:1,drawback lead show hard drive access,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
318:0,pro great product wish inch model come intel processor comfort edg edg hurt wrist,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
328:2,speedi connect wirelessli network regardless connect weak,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
31:4,iwork itun email ms offic network printer set complet work perfectli within hour,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00FU83YWS_262_APGJ4QQPM9QIX:0,far happi comput,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
1:3,buy protector key pad work great,KEYBOARD#OPERATION_PERFORMANCE,positive,KEYBOARD,OPERATION_PERFORMANCE
B00D7Z84OY_2_A1QJVGE8L3RA69:0,killer comput,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00D7Z84OY_6_A3LVQPXOZD4VIT:2,spend hour phone differ call get,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
105:2,month later reinstal os vista,OS#QUALITY,negative,OS,QUALITY
166:13,howev love particular mac fast great size fantast featur like light keyboard easi mous pad,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00KB3MXH4_15_A1HHHK2JW28E4Z:0,comput day alreadi like,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
B00KMRGF28_78_AX6U6FG5HD88L:1,nearli imposs find laptop side keyboard,KEYBOARD#DESIGN_FEATURES,positive,KEYBOARD,DESIGN_FEATURES
130:9,machin connect toshiba say replac connect card may warranti repair day warranti even though constant month occur sinc buy netbook,LAPTOP#CONNECTIVITY,negative,LAPTOP,CONNECTIVITY
45:8,much fun play,SOFTWARE#GENERAL,positive,SOFTWARE,GENERAL
269:5,size actual help quit bit abl fit alreadi full backpack use restur food tabl alway space consum,LAPTOP#PORTABILITY,positive,LAPTOP,PORTABILITY
104:3,call compaq phone hour final get replac problem get sinc warranti,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
89:1,small enough use long flight light enough carri airport power enough replac desktop long busi trip,LAPTOP#PORTABILITY,positive,LAPTOP,PORTABILITY
B00KMRGF28_387_A2CWJW76X1NX01:1,give advis prospect buyer great laptop good web brow word process,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
B00KMRGF28_341_A23O6JB0TUPOJG:3,would exchang instantli use colleg immedi,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
299:1,great pick portabl afford,LAPTOP#PRICE,positive,LAPTOP,PRICE
5:2,window starter terrif chang background need use school work,OS#USABILITY,neutral,OS,USABILITY
B00KMRGF28_187_A13MKZMIR0KM7W:4,glad buy,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B0096VDM8G_57_A2MZ152WGRBXCC:1,fast power screen display top notch batteri life excel laptop size,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
128:8,even turn,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
301:1,everyth would want comput,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
100:3,hard drive crash well buy new power cord,HARD_DISC#QUALITY,negative,HARD_DISC,QUALITY
41:1,macbook pro portabl durabl capabl,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00KB3MXH4_16_A159MX2ZLCCFU2:2,sound great fast,MULTIMEDIA_DEVICES#QUALITY,positive,MULTIMEDIA_DEVICES,QUALITY
345:0,overal money good deal,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
296:5,mac make game,LAPTOP#MISCELLANEOUS,negative,LAPTOP,MISCELLANEOUS
6:8,lose two item work figur happen,MOUSE#OPERATION_PERFORMANCE,negative,MOUSE,OPERATION_PERFORMANCE
B00FU83YWS_64_A3DGGMIJIKUS2O:0,crash day get,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
B00FU83YWS_29_A12BQH3ETKAFX1:2,cover soft rubber textur without friction,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
115:5,toshiba send one unless pay extra site repair do,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
52:2,wonder danger come emit heat,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
